type,question,answer,optionA,optionB,optionC,optionD
单选,近代中国革命必须分为两个步骤，第一步革命的基本性质是( ),C,无产阶级革命,社会主义革命,资产阶级民主主义革命,新民主主义革命
单选,半殖民地半封建社会的社会性质，决定了近代中国不可能是一个独立的民主国家，外部没有民族独立，而受帝国主义压迫；内部没有起码的资产阶级民主，反动统治阶级凭借强大的反革命武装对人民实行独裁恐怖统治。这种社会性质决定了中国革命进程的一个主要形式是( ),C,争取民主,农民运动,武装斗争,工人运动
单选,新民主主义革命的总路线中“人民大众的”是指(),A,革命的动力,革命的领导权,革命的性质,革命的对象
单选,中国民族资产阶级的阶级特性中与生俱来的一个特性是(  ),C,革命性,斗争性,软弱性,买办性
单选,新民主主义文化与旧民主主义文化相区别的根本特点是(  ),B,是否反帝反封建,是否以共产主义为指导,是否站在工农兵的立场上,是否提倡科学、民主
单选,新民主主义革命的对象是  (  ),B,帝国主义、封建主义和资本主义,帝国主义、封建主义和官僚资本主义,帝国主义、封建主义,帝国主义
单选,毛泽东明确提出新民主主义经济纲领的文章是   (  ),B,《＜共产党人＞发刊词》,《新民主主义论》,《论联合政府》,《目前形势和我们的任务》
单选,在古田会议决议中，明确了红军的性质：“中国的红军是一个执行革命的政治任务的武装集团。”根据红军的这个性质确立的中国共产党领导下的人民军队的唯一宗旨是( ),B,军事作战,为人民服务,为党服务,政治宣传
单选,在我国社会主义改造基本完成、开始全面建设社会主义的时候，毛泽东就向全党提出，走出中国自己的社会主义建设道路，探索马克思主义同中国实际的(),B,第一次结合,第二次结合,第三次结合,第四次结合
单选,1956年4月和5月，毛泽东先后在中央政治局扩大会议和最高国务会议上，作了（）的报告，初步总结了我国社会主义建设的经验，明确提出要以苏为鉴，独立自主地探索适合中国国情的社会主义建设道路。,C,《反对本本主义》,《论新阶段》,《论十大关系》,《人的正确思想是从哪里来的？》
单选,1956年底毛泽东发表的《论十大关系》成为探索中国特色的社会主义建设道路的先声，文章中提出我国社会主义建设必须围绕着一个基本方针，就是(),B,正确区分和处理两类不同性质的矛盾,调动一切积极因素为社会主义事业服务,中国共产党和民主党派“长期共存、互相监督”,“调整、巩固、 充实、提高”的方针
单选,毛泽东在《论十大关系》的报告中指出，中国工业化道路最重要的问题是(),B,处理好沿海工业和内地工业的关系,处理好重工业和轻工业、农业的关系,处理好中央和地方的关系,处理好工业现代化和农业现代化的关系
单选,《论十大关系》的发表标志着(),C,社会主义制度基本建立,社会主义改造完成,党探索中国社会主义建设道路的良好开端,社会主义建设道路的开始
单选,中共八大在探索中国自己的社会主义建设道路方面最重要的贡献是(),A,对当时和其后一个时期我国社会主义条件的阶级状况、社会状况及国情的判断、主要矛盾和党的主要任务的分析是基本正确的,提出了加强民主与法制建设的思想,提出了加强执政党建设的思想,提出了既反保守、又反冒进，在综合平衡中稳步前进的经济建设的方针
单选,1956年中共八大提出我国国内的主要矛盾是(),D,人民大众同帝国主义 、封建主义及其走狗国民党反动派残余势力的矛盾,无产阶级同资产阶级的矛盾,社会主义道路与资本主义道路的矛盾,人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要的状况之间的矛盾
单选,毛泽东在《关于正确处理人民内部矛盾的问题》中提出解决社会主义社会基本矛盾的途径是(),C,进行新民主主义革命,进行社会主义革命,依靠社会主义制度本身的力量进行改革,进行无产阶级专政下的继续革命
单选,提出社会主义社会基本矛盾和两类矛盾的学说，强调要严格区别和正确处理两类不同性质矛盾的是毛泽东()的讲话。,C,《论十大关系》,《同文艺界代表的讲话》,《关于正确处理人民内部矛盾的问题》,《限期将正确处理人民内部矛盾问题的讨论和执行情况报告中央》
单选,社会主义改造基本完成后，我国国家政治生活的主题是(),B,集中力量发展生产力,正确处理人民内部矛盾,进行思想战线上的社会主义革命,加强社会主义民主与法制建设
单选,20世纪60年代，我国提出了建设四个现代化的社会主义强国的战略目标，其中四个现代化是指(),C,工业、农业、商业和交通业,工业、农业、商业和科学技术,工业、农业、国防和科学技术,工业、农业、国防和交通业
单选,在1956年知识分子问题会议上，周恩来对知识分子的阶级属性的表达是(),C,小资产阶级,民族资产阶级,知识分子的绝大部分己经是工人阶级的一部分,大资产阶级
单选,社会主义民主的本质是(),A,人民当家作主,坚持四项基本原则,中国共产党的领导,人民民主专政
单选,()是无产阶级政党的根本组织原则，是指导党内生活的基本准则。,B,四项基本原则,民主集中制,党的组织建设,党的思想建设
单选,在中共八大上提出社会主义经济制度实行“三个主体，三个补充”设想的是(),D,刘少奇,周恩来,董必武,陈云
单选,中国共产党内率先提出探索中国社会主义建设道路的领导人是(),A,毛泽东,刘少奇,周恩来,邓小平
单选,1956年三大改造的基本完成标志着我国进入(),C,资本主义社会,新民主主义社会,社会主义初级阶段,共产主义社会
单选,20世纪50年代初，中国社会主义建设选择的模式是(),C,欧洲模式,美国模式,苏联模式,日本模式
单选,“可以消灭资本主义，又搞资本主义”是（）的思考。,D,陈云,刘少奇,周恩来,毛泽东
单选,文艺工作的基本方针是(),B,加强政治工作,“百花齐放，百家争鸣”,古为今用,洋为中用
单选,中国共产党在与民主党派的关系上应实行(),C,既利用又限制,轮流执政,长期共存，互相监督,团结——批评——团结
单选,我国的社会主义制度基本建立起来后，其主要任务是(),C,进行思想上、政治上的社会主义革命,继续进行两个阶级、两条道路的斗争,大力发展社会生产力,坚持无产阶级专政下的继续革命
单选,邓小平第一次提出“建设有中国特色的社会主义”的命题是(    ),B,党的十一届三中全会,党的十二大,党的十三大,党的十四大
单选,正式提出“邓小平理论”这一科学概念的会议是：(  ),D,党的十二大,党的十三大,党的十四大,党的十五大
单选,邓小平理论首要的基本理论问题是：(    ),D,发展才是硬道理,发展是党执政兴国的第一要务,解放生产力，发展生产力,什么是社会主义，怎样建设社会主义
单选,马克思主义同中国实际相结合第二次历史性飞跃的理论成果是:(    ),B,社会主义市场经济理论,中国特色社会主义理论体系,邓小平理论,毛泽东思想
单选,中国特色社会主义理论体系的开创之作是(    ),A,邓小平理论,“三个代表”重要思想,科学发展观,毛泽东思想
单选,开启改革开放和社会主义现代化建设历史新时期的会议是党的(        ),C,十二大,十一届六中全会,十一届三中全会,八大
单选,邓小平理论形成轮廓是在：(   ),B,党的十二大,党的十三大,党的十四大,党的十五大
单选,第一次系统阐述社会主义初级阶段的理论是在,B,党的十二大,党的十三大,党的十四大,党的十五大
单选,邓小平理论被确定为党的指导思想是在,D,党的十二大,党的十三大,党的十四大,党的十五大
单选,1978年邓小平在中央工作会议上作的《解放思想，实事求是，团结一致向前看》的重要讲话，重新确立了党的,A,党的实事求是的思想路线,解放思想、实事求是的思想路线,解放思想的思想路线,解放思想、实事求是、与时俱进的思想路线
单选,邓小平指出：“一个党， 一个国家， 一个民族，如果一切从本本出发，思想僵化，迷信盛行，那它就不能前 进，它的生机就停止了，就要亡党亡国。”这段话，非常深刻地阐明了,D,反对教条主,改革开放的重要性,破除封建迷信的重要,解放思想的重要性
单选,社会主义的首要的基本的理论问题是(   ),D,解放思想，实事求是,大力发展生产力,一切从社会主义初级阶段出发,"什么是社会主义,怎样建设社会主义"
单选,社会主义的本质是(   ),D,生产资料为社会占有,实行按劳分配原则,有计划地组织生产,"解放生产力,发展生产力,消灭剥削,消除两极分化,最终达到共同富裕"
单选,社会主义的根本任务是(     ),B,消灭剥削,发展生产力,以经济建设为中心,实现共同富裕
单选,"把党和国家的工作重点由以阶级斗争为纲转移到经济建设上来,是党的(    )",B,1978年中央工作会议,十一届三中全会,十一届六中全会,十二大
单选,"我们讲一切从实际出发,最大的实际就是中国(  )",D,"人口多,耕地少",自然资源贫乏,"底子薄,经济文化落后",正处于并将长期处于社会主义初级阶段
单选,社会主义初级阶段是指(  ),B,任何国家进入社会主义都要经历的起始阶段,"我国在生产力落后,商品经济不发达条件下,建设社会主义必然要经历的特定阶段",从新民主主义社会向社会主义社会过渡的阶段,从社会主义社会向共产主义社会过渡的阶段
单选,对社会主义初级阶段的基本路线作出了明确概括的是在(  ),B,党的十二大,党的十三大,党的十四大,党的十五大
单选,社会主义初级阶段基本路线的最主要内容是(  ),A,"以经济建设为中心,坚持四项基本原则,坚持改革开放","以经济建设为中心,坚持四项基本原则","以经济建设为中心,坚持改革开放","以经济建设为中心,加强精神文明建设"
单选,我国改革的性质是( ),C,经济体制的自我完善,社会主义制度的根本性改革,社会主义制度的自我完善和发展,经济体制的自我完善
单选,社会主义社会的发展的直接动力是( ),A,改革,四项基本原则,经济建设,人民内部矛盾
单选,把社会主义市场经济体制作为我国经济体制改革的目标是由( ),C,十一届三中全会提出,十三大提出,十四大提出,十五大提出
单选,“三个代表”重要思想创造性地回答了（    ）的问题 。,C,什么是社会主义，怎样建设社会主义,什么是现代化，怎样建设现代化,建设什么样的党，怎样建设党,实现什么样的发展，怎样发展
单选,“三个代表”重要思想首次提出是在(),B,1999年,2000年,2001年,2002年
单选,()是中国共产党的立党之本、执政之基、力量之源。,C,坚持“四项基本原则 ”,坚持改革开放,始终做到“三个代表 ”,始终保持党与人民的血肉联系
单选,党的十六大把（） 一起确立为我们党必须长期坚持的指导思想,D,“三个代表”重要思想同马克思列宁主义,“三个代表”重要思想同邓小平理论,“三个代表”重要思想同毛泽东思想、邓小平理论,“三个代表”重要思想同马克思列宁主义、毛泽东思想 、邓小平理论
单选,贯彻“三个代表”重要思想，核心在(),B,坚持与时俱进,保持党的先进性,坚持执政为民,巩固党的执政地位
单选,贯彻“三个代表”重要思想，本质在(),C,坚持与时俱进,保持党的先进性,坚持执政为民,巩固党的执政地位
单选,贯彻“三个代表”重要思想，关键在( ),A,坚持与时俱进,保持党的先进性,坚持执政为民,巩固党的执政地位
单选,始终做到“三个代表”，是我们党的（  ）、执政之基 、力量之源。,B,建党之本,立党之本,立国之本,政治保证
单选,把“三个代表”重要思想确立为党的指导思想是( ),D,1987年党的十三大,1992年党的十四大,1997年党的十五大,2002年党的十六大
单选,贯彻“三个代表”重要思想，必须 (   ),B,把反对腐败作为党执政兴国的第一要务,把发展作为党执政兴国的第一要务,把与时俱进作为党执政兴国的第一要务,把求真务实作为党执政兴国的第一要务
单选,()是先进生产力的开拓者，在改革开放和现代化建设中有着特殊重要的作用。,C,工人,农民,知识分子,资本家
单选,在五千多年的发展中，中华民族形成了以（）为核心的伟大民族精神。,C,马克思主义,中国特色社会主义,爱国主义,爱好和平
单选,()是党执政兴国的第一要务。,A,发展,前进,变化,进步
单选,党的（）正式把建立社会主义市场经济体制确立为我国经济体制改革的目标。,B,十三大,十四大,十五大,十六大
单选,建立社会主义市场经济体制，必须坚持和完善（）为主体、多种所有制经济共同发展的社会主义基本经济制度 。,A,公有制,私有制,个体经济,私营经济
单选,科学发展观的内涵极为丰富，其核心立场是：(    ),A,以人为本,全面发展,协调发展,可持续发展
单选,党的第（    ）次代表大会将科学发展观确立为党必须长期坚持的指导思想。,B,党的十六大,党的十七大,党的十四大,党的十五大
单选,确定科学发展观的现实依据是(   ),A,社会主义初级阶段的基本国情和新的阶段性特征,社会主义和谐社会的内在要求,新世纪新阶段的阶段性特征,全球化时代的国际环境
单选,科学发展观的第一要义是(),B,以人为本,发展,协调发展,可持续
单选,科学发展观的根本方法是(),A,统筹兼顾,全面协调可持续,以人为本,发展
单选,科学发展观创造性回答的重大问题是,D,什么是社会主义改造 、怎样进行社会主义改造,什么是社会主义、怎样建设社会主义,建设什么样的党、怎样建设党,实现什么样的发展 、怎样发展
单选,关于发展的本质、目的、内涵和要求的总体看法和根本观点是( ),D,发展战略,发展道路,发展模式,发展观
单选,( )提出“中国特色社会主义理论体系”的科学概念,C,十五大报告,十六大报告,十七大报告,十九大报告
单选,经过长期的努力，中国特色社会主义进入了(  ),C,新时期,新阶段,新时代,新环境
单选,十九大的主题是：不忘初心，（   ）高举中国特色社会主义伟大旗帜，决胜全面建成小康社会，夺取新时代中国特色社会主义伟大胜利，为实现中华民族伟大复兴的中国梦不懈奋斗。,B,继续前进,牢记使命,方得始终,砥砺前行
单选,中国特色社会主义进入新时代，我国社会主要矛盾已经转化为人民日益增长的（   ）需要和（    ）的发展之间的矛盾。,D,美好生活不充足不平衡,幸福生活不平衡不充分,幸福生活不充分不平衡,美好生活不平衡不充分
单选,必须认识到，我国社会主要矛盾的变化，没有改变我们对我国社会主义所处历史阶段的判断，我国仍处于并将长期处于（    ）的基本国情没有变，我国是世界最大发展中国家的国际地位没有变。,B,社会主义阶段,社会主义初级阶段,社会主义中级阶段,社会主义高级阶段
单选,经过长期的努力，中国特色社会主义进入了新时代，这是我国发展新的(   ),D,未来方向,未来方位,历史方向,历史方位
单选,党的十九大书写了民族复兴的“未来简史”，（  ）是坐标，（  ）是灵魂，（  ）是底色。,C,新时代，强起来，新思想,新思想，新时代，强起来,新时代，新思想，强起来,新思想，强起来，新时代
单选,改革开放以来我们党全部理论和实践的鲜明主题是( ),A,坚持和发展中国特色社会主义,坚持中国特色社会主义,发展中国特色社会主义,坚持改革开放
单选,习近平新时代中国特色社会主义思想的核心要义是( ),C,坚持中国特色社会主义,发展中国特色社会主义,坚持和发展中国特色社会主义,坚持改革开放
单选,习近平新时代中国特色社会主义思想最重要，最核心的内容是(   ),C,十四个坚持,五位一体,八个明确,四个全面
单选,重点讲的怎么看，回答新时代坚持和发展什么样的中国特色社会主义的问题的是(  ),A,八个明确,十四个坚持,五位一体,四个全面
单选,重点讲的怎么办，回答新时代怎样坚持和发展中国特色社会主义的问题的是(  ),B,八个明确,十四个坚持,五位一体,四个全面
单选,“八个明确”是（   ）层面的表述,C,理论指导,实践指导,指导思想,行动纲领
单选,“十四个坚持”是（  ）层面的表述,D,理论指导,实践指导,指导思想,行动纲领
单选,把习近平新时代中国特色社会主义思想确立为党的指导思想的会议是(  ),A,党的十九大,党的十八大,十三届全国人大一次会议,十九届三中全会
单选,把习近平新时代中国特色社会主义思想载入宪法的会议是(  ),C,党的十九大,党的十八大,十三届全国人大一次会议,十九届三中全会
单选,实现民族复兴，关键在(  ),B,军队,党,群众,经济实力
单选,近代以来中华民族最伟大的梦想是,D,实现民族独立,实现国家解放,实现世界大同,实现民族伟大复兴
单选,新时代中国特色社会主义思想，明确坚持和发展中国特色社会主义，总任务是实现社会主义现代化和中华民族伟大复兴，在全面建成小康社会的基础上，分两步走在本世纪中叶建成（  ）。,D,富强民主文明和谐的社会主义现代化国家,富强民主文明和谐的社会主义现代化强国,富强民主文明和谐美丽的社会主义现代化国家,富强民主文明和谐美丽的社会主义现代化强国
单选,新时代中国特色社会主义思想，明确坚持和发展中国特色社会主义，总任务是实现社会主义现代化和中华民族伟大复兴，在全面建成小康社会的基础上，分（  ）在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国。,A,两步走,三步走,四步走,五步走
单选,综合分析国际国内形势和我国发展条件，从二〇二〇年到本世纪中叶可以分两个阶段来安排。第一个阶段，从_	(   )到（   ），在全面建成小康社会的基础上，再奋斗十五年，基本实现社会主义现代化。,A,二〇二〇年二〇三五年,二〇二五年二〇四〇年,二〇三〇年二〇四五年,二〇三五年本世纪中叶
单选,综合分析国际国内形势和我国发展条件，从二〇二〇年到本世纪中叶可以分两个阶段来安排。第二个阶段，从	(    )到（     ），在基本实现现代化的基础上，再奋斗十五年，把我国建成富强民主文明和谐美丽的社会主义现代化强国。,D,二〇二〇年二〇三五年,二〇三五年二〇五〇年,二〇三〇年二〇四五年,二〇三五年本世纪中叶
单选,"从全面建成小康社会到基本实现现代化，再到全面建成(    ),是新时代中国特色社会主义发展的战略安排 。",B,创新型国家,社会主义现代化强国,社会主义现代化大国,世界一流强国
单选,坚持和发展中国特色社会主义的总任务是（    ）。,C,建成社会主义,实现现代化,实现社会主义现代化和中华民族伟大复兴,实现共产主义
单选,实现中华民族伟大复兴，就是（   ）。,B,中华民族的现代梦想,近代以来中华民族最伟大的梦想,中华民族的古代梦想,中华民族的远大理想
单选,中国梦的本质是（   ）。,C,国家梦,民族梦,国家富强、民族振兴 、人民幸福,人民梦
单选,中国梦归根到底是（   ）。,B,国家梦,人民梦,民族梦,世界梦
单选,实现中国梦必须（   ）。,D,走资本主义道路,坚持资本主义制度,依靠外国力量,走中国道路、弘扬中国精神
单选,中国精神是（  ）。,C,资本主义精神,社会主义精神,爱国主义为核心的民族精神和以改革创新为核心的时代精神,革命主义精神
单选,中国道路是指（   ）。,A,中国特色社会主义道路,社会主义道路,资本主义道路,革命道路
单选,()是中华民族伟大复兴的形象表达。,C,革命胜利,社会主义,中国梦,中国特色社会主义
单选,党的领导是人民当家作主和依法治国的（）。,A,根本保证,基本保证,重要保证,根本支撑
单选,()是社会主义民主政治的本质特征。,C,依法治国,党的建设,人民当家作主,民主权利
单选,依法治国是党领导人民治理国家的（）。,B,根本方式,基本方式,基本原则,重要方针
单选,走中国特色社会主义政治发展道路，必须坚持正确() 。,D,特色道路,思想导向,政治定力,政治方向
单选,《中共中央关于深化党和国家机构改革的决定》通过于(),D,十九大,十九届一中全会,十九届二中全会,十九届三中全会
单选,我国是人民民主专政的社会主义国家，国家一切权力属于(),B,党,人民,公务员,工人阶级
单选,()是我国根本政治制度。,D,民族区域自治制度,政治协商制度,基层群众自治制度,人民代表大会制度
单选,具有中国特色的制度安排，是社会主义协商民主的重要渠道和专门协商机构的是（）。,A,人民政协,党代表大会,人民代表大会,人大常委会
单选,爱国统一战线是党的事业取得胜利的（），将继续巩固和发展。,C,主要动力,根本力量,重要法宝,基本思路
单选,全面贯彻党的宗教工作基本方针，要坚持我国宗教的()。,A,中国化,世界化,民族化,社会化
单选,()是解决历史遗留的香港、澳门问题的最佳方案。,B,港人治港,一国两制,澳人治澳,“九二共识”
单选,保持香港、澳门国际地位和解决其各种问题的金钥匙是(),B,民主,发展,自由,贸易
单选,维护和谐稳定的社会环境，要坚持（）为主体的“港人治港”，发展壮大爱国爱港爱澳力量。,D,中国公民,香港同胞,澳门同胞,爱国者
单选,()是两岸关系的政治基础。,D,和平统一,遏制台独,“九二共识”,一个中国原则
单选,()明确界定了两岸关系的根本性质，是确保两岸关系和平发展的关键。,B,两种制度,“九二共识”,高度自治,祖国完全统一
单选,“一国两制”的提出，首先是为了（）。,A,实现和维护祖国统一,解决香港问题,解决澳门问题,解决国外干预
单选,党的十九大进一步明确了决胜全面建成小康社会的战略安排。从现在到2020年是全面建成小康社会,D,关键期,过渡期,攻坚期,决胜期
单选,“四个全面”战略布局中具有突破性和先导性的关键环节是,B,全面建成小康社会,全面深化改革,全面依法治国,全面从严治党
单选,改革的倡导者、推动者、领导者是,D,人民,社会,政府,党
单选,我国改革开放之所以能取得巨大成功，关键是我们,A,把党的基本路线作为党和国家的生命线,坚持四项基本原则,坚持全面从严治党,坚持自力更生艰苦奋斗
单选,全面深化改革的出发点和落脚点是,C,解放和发展生产力,巩固党的执政地位,促进社会公平正义、增进人民福祉,破除一切不合时宜的思想观念和体制机制弊端
单选,十八届三中全会强调，紧紧围绕坚持（ ）深化政治体制改革,D,党的领导、人民当家作主、依法执政有机统一,人民当家作主、党的领导、依法行政有机统一,依法治国、人民民主 、党的领导有机统一,党的领导、人民当家作主、依法治国有机统一
单选,十八届三中全会强调，紧紧围绕（ ）深化生态文明体制改革,C,保护生态环境,建设生态中国,建设美丽中国,节约资源和保护环境
单选,十八届三中全会强调，紧紧围绕（ ）深化党的建设制度改革,B,提高战斗力、凝聚力,提高科学执政、民主执政、依法执政水平,提高先进性、纯洁性,提高拒腐防变和抵御风险的能力
单选,明确把依法治国确立为治理国家基本方略的是,A,十五大,十六大,十七大,十八大
单选,2014年（）通过了《关于全面推进依法治国若干重大问题的决定》，明确提出全面推进依法治国。,C,十八届二中全会,十八届三中全会,十八届四中全会,十八届五中全会
单选,建设中国特色社会主义法治体系，首先是要完善以()为核心的中国特色社会主义法律体系,B,法律,宪法,民法,刑法
单选,法律是治国之重器，（）是善治之前提。,A,良法,守法,立法,司法
单选,加强新时代党的建设，要以（）为统领,B,党的思想建设,党的政治建设,党的组织建设,党制度建设
单选,加强新时代党的建设，要以（）为根基,C,改进党的作风,完善党内制度,坚定理想信念宗旨,坚定政治方向
单选,()是政党第一位的属性,D,阶级属性,制度属性,社会属性,政治属性
单选,加强新时代对党的建设要把党的（）摆在首位,D,思想建设,制度建设,作风建设,政治建设
单选,()是党的基础性建设,C,政治建设,组织建设,思想建设,制度建设
单选,党的作风建设的核心是,B,党的团结统一,保持党同人民群众的血肉联系,为人民服务,强化政治纪律和组织纪律
单选,习近平强军思想深刻回答了,B,建设一支什么样的强大军队，怎样建设强大军队的时代课题,新时代建设一支什么样的强大军队，怎样建设强大军队的时代课题,建设一支什么样的军队，怎样建设军队的时代课题,新时代建设一支什么样的军队，怎样建设军队的时代课题
单选,军队最高领导权和指挥权属于党中央和中央军委，中央军委实行,B,集体负责制,主席负责制,个人负责制,分工负责制
单选,()标准始终是军事领域衡量利弊得失的重要标准,C,执行力,领导力,战斗力,凝聚力
单选,()是人民军队的立军之本,A,政治建军,改革强军,科技兴军,依法治军
单选,()是我军发展壮大、制胜未来的关键一招,B,政治建军,改革,科技,依法治军
单选,()是现代战争的核心战斗力,C,政治建军,改革,科技,依法治军
单选,我国军队最高领导权和指挥权属于,D,国家主席,全国人民代表大会,总理,党中央和中央军委
单选,()是党对军队绝对领导的最高实现形式,A,军委主席负责制,首长分工负责制,党委制,政治委员制
单选,我国人民军队党指挥枪原则落地生根的坚实基础是,A,支部建在连上,党委统一领导,党委集体领导,首长分工负责
单选,中国倡导的新型国际关系是相互尊重、公平正义和(),B,互相包容,合作共赢,互利共赢,共同发展
单选,中国坚定奉行（）的和平外交政策,C,独立发展,共同协商,独立自主,永不称霸
单选,当今时代主题是(),A,和平与发展,战争与革命,全球化,多极化
单选,中国支持（）体制，推动建设开放型世界经济,A,多边贸易,单边贸易,双边贸易,全球贸易
单选,中国将继续发挥负责任大国作用，积极参与（）改革与建设，不断贡献中国智慧和力量,C,联合国,世界贸易组织,全球治理体系,全球贸易体系
单选,社会信息化的一个重要标志是(),B,电脑的普及,互联网的飞速发展和广泛应用,无人操作的广泛应用,巨型计算机的研制
单选,中国积极促进（）国际合作，打造国际合作新平台，增添共同发展新动力,B,丝绸之路,一带一路,经济贸易,多边
单选,中国外交政策的宗旨是(),B,广交朋友,"维护世界和平,促进共同发展",促进自己发展,为中国崛起服务
单选,推动建立新型国际关系，要(),C,坚决维护社会主义意识形态,坚决反对霸权主义,坚决维护国家核心利益,坚决维护联合国宪章
单选,在中国的外交工作布局中，（）是首要,C,大国,发展中国家,周边,多边
单选,2015年9月，习近平在纽约联合国总部发表重要讲话，提出要构建新型国际关系，打造(),B,一带一路,人类命运共同体,和谐世界,世界经济统一体
单选,新时代中国共产党的历史使命是  (),B,实现民族独立,实现民族伟大复兴,实现共产主义,实现社会主义
单选,习近平总书记在十九大报告中指出，四个伟大中，起决定性作用的是  (),A,伟大工程,伟大斗争,伟大事业,伟大梦想
单选,改革开放以来党的全部理论和实践的主题是   (),C,共产主义理想,改革开放,中国特色社会主义,马克思主义中国化
单选,新时代中国特色社会主义思想，明确中国特色社会主义最本质的特征是(),C,“五位一体”总体布局,建设中国特色社会主义法治体系,中国共产党领导,人民利益为根本出发点
单选,党的一切工作以  （）     为最高标准。,A,最广大人民根本利益,经济发展,全体人民共同富裕,每个人的自由而全面发展
单选,()是党的根本性建设，决定党的建设方向和效果,A,政治建设,思想建设,组织建设,作风建设
单选,坚持和加强党的全面领导，以加强（）为主线,C,党的政治建设,坚定理想信念,党的长期执政能力建设、先进性和纯洁性建设,调动全党积极性、主动性、创造性
单选,新时代党的建设的根本方针是(),B,坚持和加强党的全面领导,坚持党要管党、全面从严治党,以加强党的长期执政能力建设、先进性和纯洁性建设为主线,以党的政治建设为统领
